ID,Parking,Height,Garbage,wc_type,numb_wc,total_area,price_per_month,deposit,utilities,rental_term,advance_payment,price_per_sqm,numb_rooms,Adj_room,Isolated_room,floor_apartments,numb_floors_build,Brick,Block,Monolithic,Monolith_brick,Panelled,Stalinist,old_type,Loggia,Balcony,Children,pets,pass_lift,Cargo_lift,Proximity_metro,Repair_Design,Repair_Renovation,Repair_Redecoration,No_repair
271271157,1,3.0,1,1,1,200.0,500000.0,500000.0,1,1,1,2500.0,4,0,0,5,16,0,0,1,0,0,0,0,0,0,1,1,4,1,1,1,0,0,0
271634126,1,3.5,0,1,3,198.0,500000.0,500000.0,1,1,1,2525.252525252525,4,0,0,5,16,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0
271173086,1,3.2,0,1,3,200.0,500000.0,500000.0,0,1,1,2500.0,4,1,1,5,16,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
272197456,1,3.2,0,1,3,170.0,400000.0,400000.0,0,1,1,2352.9411764705883,4,1,1,5,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
273614615,0,3.9,1,1,2,58.0,225000.0,225000.0,1,1,1,3879.310344827586,2,0,0,12,26,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
274837728,0,2.64,0,1,1,92.0,470000.0,470000.0,0,1,2,5108.695652173913,3,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
273643908,1,3.2,0,1,2,213.0,350000.0,350000.0,0,1,1,1643.1924882629107,5,1,1,4,5,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
274475342,1,3.2,0,1,2,98.0,250000.0,250000.0,1,1,1,2551.0204081632655,3,0,0,2,4,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
273973191,1,3.0,0,1,1,120.0,130000.0,130000.0,1,1,1,1083.3333333333333,3,0,0,5,10,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0
272900409,1,2.64,1,1,2,90.0,210000.0,210000.0,1,1,1,2333.3333333333335,4,0,0,2,7,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0
271036964,1,3.2,0,1,3,170.0,290000.0,290000.0,0,1,1,1705.8823529411766,4,1,1,6,7,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
273999490,0,2.64,0,1,1,80.0,100000.0,110000.0,1,1,1,1250.0,3,0,1,4,8,1,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0
274017037,0,2.64,0,1,2,100.0,200000.0,200000.0,1,1,1,2000.0,3,0,0,2,4,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
273231024,0,2.64,0,1,3,180.0,500000.0,500000.0,1,1,1,2777.777777777778,5,0,0,6,8,0,0,1,0,0,0,0,1,0,1,1,3,0,1,1,0,0,0
274839211,1,2.64,0,1,2,222.2,450000.0,450000.0,0,1,1,2025.2025202520254,5,1,1,5,9,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
274767901,0,2.64,1,1,1,225.0,450000.0,450000.0,1,1,1,2000.0,5,0,0,5,9,0,0,1,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0
274995950,0,2.64,0,1,1,30.0,120000.0,120000.0,1,1,1,4000.0,2,0,0,19,26,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0
274945807,0,2.64,0,1,1,222.0,450000.0,450000.0,0,1,1,2027.027027027027,5,0,0,5,9,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
272911145,1,2.64,0,1,2,150.0,180000.0,180000.0,0,1,1,1200.0,5,0,1,4,7,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
274748017,0,3.2,0,1,3,201.0,190000.0,190000.0,0,1,1,945.273631840796,5,1,1,3,3,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
273941734,0,2.64,0,1,2,64.0,205000.0,205000.0,1,1,1,3203.125,2,1,1,12,26,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0
274493570,1,3.2,0,1,2,112.0,230000.0,230000.0,0,1,1,2053.5714285714284,3,1,1,2,7,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
274849101,0,2.64,0,1,1,190.0,590000.0,590000.0,0,1,1,3105.2631578947367,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
223918678,0,2.64,0,1,3,255.6,850000.0,850000.0,1,1,1,3325.508607198748,5,0,0,8,9,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0
274391259,1,3.3,1,1,2,186.0,190000.0,190000.0,1,1,1,1021.505376344086,5,0,0,3,3,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0
272945376,1,3.2,0,1,2,100.0,200000.0,200000.0,0,1,1,2000.0,3,1,1,3,8,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
272612966,0,2.64,0,1,2,150.0,200000.0,200000.0,0,1,1,1333.3333333333333,5,0,0,4,7,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
271568490,0,2.64,0,1,1,140.0,300000.0,300000.0,0,1,1,2142.8571428571427,5,0,0,2,7,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
264664760,0,2.64,0,1,2,132.8,400000.0,400000.0,1,1,1,3012.048192771084,3,0,0,5,13,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0
228923308,1,3.0,1,1,4,256.0,750000.0,750000.0,1,1,3,2929.6875,5,0,0,8,10,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0
267489303,1,4.0,1,1,3,380.0,870000.0,870000.0,1,1,1,2289.4736842105262,6,0,0,3,6,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0
273353104,1,3.15,1,0,2,112.0,350000.0,350000.0,0,1,1,3125.0,3,0,0,3,13,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
273353103,1,3.15,1,0,2,91.0,400000.0,400000.0,0,1,1,4395.604395604396,2,0,0,10,13,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
268321690,1,2.64,0,1,2,135.0,400000.0,400000.0,1,1,1,2962.962962962963,3,0,0,5,13,0,0,0,1,0,0,0,0,0,1,1,2,1,1,1,0,0,0
269496185,1,3.2,0,1,2,190.0,590000.0,590000.0,1,1,1,3105.2631578947367,4,0,0,4,5,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0
272188531,0,4.15,1,0,1,44.0,135000.0,135000.0,0,1,1,3068.181818181818,2,0,0,21,26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
272727784,0,2.64,0,1,1,85.0,150000.0,150000.0,1,1,1,1764.7058823529412,3,0,0,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
267110043,0,3.0,1,0,2,100.0,320000.0,320000.0,0,1,1,3200.0,2,0,0,5,7,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1
265323319,1,3.15,1,0,2,133.3,400000.0,400000.0,0,1,1,3000.7501875468865,3,0,0,5,13,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1
265804792,0,3.8,1,0,3,210.0,400000.0,400000.0,0,1,1,1904.7619047619048,4,0,0,3,5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
239000408,0,2.64,1,0,2,180.0,450000.0,450000.0,0,1,1,2500.0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
271209314,0,3.35,1,0,2,165.0,470000.0,470000.0,0,1,1,2848.4848484848485,4,0,0,9,16,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1
269889430,0,4.05,1,0,2,190.0,590000.0,590000.0,0,1,1,3105.2631578947367,4,0,0,4,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
241704098,0,3.35,1,0,2,168.0,600000.0,600000.0,0,1,1,3571.4285714285716,4,0,0,4,16,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1
239000331,0,2.64,1,0,3,250.0,850000.0,850000.0,0,1,1,3400.0,5,0,0,8,9,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1
272823500,1,2.64,0,1,1,85.0,150000.0,150000.0,0,1,1,1764.7058823529412,3,0,1,7,7,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
274402813,1,2.64,0,1,3,105.0,195000.0,195000.0,1,1,1,1857.142857142857,3,0,0,6,17,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0
270190788,1,2.64,0,0,2,134.0,300000.0,300000.0,0,1,1,2238.805970149254,3,1,1,8,16,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0
